date,tactic,state,campaign,impression,clicks,spend,attributed revenue,channel
2025-05-16,ASC,NY,Facebook - ASC - C01,124603,1888,1442.28,4706.23,Facebook
2025-05-17,ASC,NY,Facebook - ASC - C01,139596,2086,1235.47,3674.32,Facebook
2025-05-18,ASC,NY,Facebook - ASC - C01,167700,2635,1169.83,3317.04,Facebook
2025-05-19,ASC,NY,Facebook - ASC - C01,132781,2045,1775.26,5250.54,Facebook
2025-05-20,ASC,NY,Facebook - ASC - C01,115201,1634,987.1,2409.58,Facebook
2025-05-21,ASC,NY,Facebook - ASC - C01,101433,1500,994.24,2607.73,Facebook
2025-05-22,ASC,NY,Facebook - ASC - C01,364349,5045,3057.92,9265.95,Facebook
2025-05-23,ASC,NY,Facebook - ASC - C01,161201,2410,2246.92,6257.68,Facebook
2025-05-24,ASC,NY,Facebook - ASC - C01,194041,2937,1629.88,4530.73,Facebook
2025-05-25,ASC,NY,Facebook - ASC - C01,258008,4161,2689.69,7821.79,Facebook
2025-05-26,ASC,NY,Facebook - ASC - C01,227064,3122,2608.66,6682.26,Facebook
2025-05-27,ASC,NY,Facebook - ASC - C01,205140,2828,2752.07,7824.42,Facebook
2025-05-28,ASC,NY,Facebook - ASC - C01,274009,3830,2057.01,5551.02,Facebook
2025-05-29,ASC,NY,Facebook - ASC - C01,362869,5502,3587.44,10916.51,Facebook
2025-05-30,ASC,NY,Facebook - ASC - C01,173645,2552,2221.42,6107.35,Facebook
2025-05-31,ASC,NY,Facebook - ASC - C01,183112,2798,1964.58,5195.72,Facebook
2025-06-01,ASC,NY,Facebook - ASC - C01,207865,3222,1318.24,3550.39,Facebook
2025-06-02,ASC,NY,Facebook - ASC - C01,88685,1422,990.18,2627.67,Facebook
2025-06-03,ASC,NY,Facebook - ASC - C01,136907,2189,1204.86,3460.55,Facebook
2025-06-04,ASC,NY,Facebook - ASC - C01,168633,2278,2535.25,6341.69,Facebook
2025-06-05,ASC,NY,Facebook - ASC - C01,269120,4427,2197.12,6647.5,Facebook
2025-06-06,ASC,NY,Facebook - ASC - C01,199471,3130,1483.14,4831.43,Facebook
2025-06-07,ASC,NY,Facebook - ASC - C01,199427,2815,1933.81,4657.49,Facebook
2025-06-08,ASC,NY,Facebook - ASC - C01,156132,2542,1633.47,5040.63,Facebook
2025-06-09,ASC,NY,Facebook - ASC - C01,196833,3153,1523.35,3914.97,Facebook
2025-06-10,ASC,NY,Facebook - ASC - C01,188667,2924,1343.0,4280.36,Facebook
2025-06-11,ASC,NY,Facebook - ASC - C01,99181,1567,957.23,2833.2,Facebook
2025-06-12,ASC,NY,Facebook - ASC - C01,96781,1404,1363.99,4002.28,Facebook
2025-06-13,ASC,NY,Facebook - ASC - C01,164254,2427,1594.02,4190.08,Facebook
2025-06-14,ASC,NY,Facebook - ASC - C01,131896,1966,1481.94,4395.67,Facebook
2025-06-15,ASC,NY,Facebook - ASC - C01,114285,1789,1066.97,2600.54,Facebook
2025-06-16,ASC,NY,Facebook - ASC - C01,194886,2650,2317.86,5778.1,Facebook
2025-06-17,ASC,NY,Facebook - ASC - C01,186481,3075,2300.16,5786.03,Facebook
2025-06-18,ASC,NY,Facebook - ASC - C01,140242,2171,948.94,2652.16,Facebook
2025-06-19,ASC,NY,Facebook - ASC - C01,139746,2088,1004.31,3006.39,Facebook
2025-06-20,ASC,NY,Facebook - ASC - C01,257625,3800,3395.33,11143.28,Facebook
2025-06-21,ASC,NY,Facebook - ASC - C01,164949,2475,1276.54,3163.95,Facebook
2025-06-22,ASC,NY,Facebook - ASC - C01,123672,1758,1663.0,3938.73,Facebook
2025-06-23,ASC,NY,Facebook - ASC - C01,163100,2508,982.86,3115.8,Facebook
2025-06-24,ASC,NY,Facebook - ASC - C01,193416,2667,2048.86,5627.95,Facebook
2025-06-25,ASC,NY,Facebook - ASC - C01,138038,2047,1589.5,4226.82,Facebook
2025-06-26,ASC,NY,Facebook - ASC - C01,206182,3186,2411.62,6281.64,Facebook
2025-06-27,ASC,NY,Facebook - ASC - C01,136431,1929,883.72,2357.68,Facebook
2025-06-28,ASC,NY,Facebook - ASC - C01,116488,1671,934.11,2518.66,Facebook
2025-06-29,ASC,NY,Facebook - ASC - C01,210319,3024,2105.02,6261.03,Facebook
2025-06-30,ASC,NY,Facebook - ASC - C01,121667,1689,1351.45,4213.11,Facebook
2025-07-01,ASC,NY,Facebook - ASC - C01,219863,3600,2229.93,6230.74,Facebook
2025-07-02,ASC,NY,Facebook - ASC - C01,246486,3438,3554.31,10572.13,Facebook
2025-07-03,ASC,NY,Facebook - ASC - C01,175794,2754,977.16,2604.92,Facebook
2025-07-04,ASC,NY,Facebook - ASC - C01,197017,2875,2060.84,5333.31,Facebook
2025-07-05,ASC,NY,Facebook - ASC - C01,133370,1968,1394.65,4187.16,Facebook
2025-07-06,ASC,NY,Facebook - ASC - C01,294259,4463,2651.6,7697.45,Facebook
2025-07-07,ASC,NY,Facebook - ASC - C01,106236,1707,715.49,2197.48,Facebook
2025-07-08,ASC,NY,Facebook - ASC - C01,129236,1980,1561.77,4129.62,Facebook
2025-07-09,ASC,NY,Facebook - ASC - C01,156317,2224,2282.72,6183.83,Facebook
2025-07-10,ASC,NY,Facebook - ASC - C01,303377,4345,2244.56,6186.55,Facebook
2025-07-11,ASC,NY,Facebook - ASC - C01,229461,3758,2042.67,4962.26,Facebook
2025-07-12,ASC,NY,Facebook - ASC - C01,266579,3715,1833.05,4955.2,Facebook
2025-07-13,ASC,NY,Facebook - ASC - C01,234512,3318,2021.92,5667.66,Facebook
2025-07-14,ASC,NY,Facebook - ASC - C01,124700,1887,1559.25,4352.1,Facebook
2025-07-15,ASC,NY,Facebook - ASC - C01,240654,3394,3002.52,8873.42,Facebook
2025-07-16,ASC,NY,Facebook - ASC - C01,226529,3284,3184.95,9829.64,Facebook
2025-07-17,ASC,NY,Facebook - ASC - C01,158611,2526,1629.57,3936.77,Facebook
2025-07-18,ASC,NY,Facebook - ASC - C01,99173,1620,939.47,2447.45,Facebook
2025-07-19,ASC,NY,Facebook - ASC - C01,105099,1685,969.55,3010.36,Facebook
2025-07-20,ASC,NY,Facebook - ASC - C01,147625,2396,975.84,2703.99,Facebook
2025-07-21,ASC,NY,Facebook - ASC - C01,184911,2839,1692.21,4175.76,Facebook
2025-07-22,ASC,NY,Facebook - ASC - C01,158511,2312,2049.73,5632.21,Facebook
2025-07-23,ASC,NY,Facebook - ASC - C01,136826,2246,1866.98,5420.45,Facebook
2025-07-24,ASC,NY,Facebook - ASC - C01,228762,3265,1451.79,3747.95,Facebook
2025-07-25,ASC,NY,Facebook - ASC - C01,179362,2659,1640.77,4989.77,Facebook
2025-07-26,ASC,NY,Facebook - ASC - C01,133497,1810,1911.35,5005.31,Facebook
2025-07-27,ASC,NY,Facebook - ASC - C01,161395,2499,2074.76,4724.8,Facebook
2025-07-28,ASC,NY,Facebook - ASC - C01,261169,4082,3475.86,9407.92,Facebook
2025-07-29,ASC,NY,Facebook - ASC - C01,211538,3004,2391.51,6092.28,Facebook
2025-07-30,ASC,NY,Facebook - ASC - C01,257560,3662,2907.33,7975.97,Facebook
2025-07-31,ASC,NY,Facebook - ASC - C01,192181,2617,2196.53,5473.56,Facebook
2025-08-01,ASC,NY,Facebook - ASC - C01,166045,2607,1727.02,4515.05,Facebook
2025-08-02,ASC,NY,Facebook - ASC - C01,277450,3855,3318.72,10125.26,Facebook
2025-08-03,ASC,NY,Facebook - ASC - C01,165132,2229,2461.21,7693.04,Facebook
2025-08-04,ASC,NY,Facebook - ASC - C01,146288,2147,1734.71,5429.21,Facebook
2025-08-05,ASC,NY,Facebook - ASC - C01,257120,3800,2352.45,6823.01,Facebook
2025-08-06,ASC,NY,Facebook - ASC - C01,139431,2131,1443.9,3909.96,Facebook
2025-08-07,ASC,NY,Facebook - ASC - C01,124245,1907,1260.81,3018.67,Facebook
2025-08-08,ASC,NY,Facebook - ASC - C01,142972,2052,1757.12,4436.31,Facebook
2025-08-09,ASC,NY,Facebook - ASC - C01,175004,2686,1169.05,3038.98,Facebook
2025-08-10,ASC,NY,Facebook - ASC - C01,356260,5527,2857.13,8265.75,Facebook
2025-08-11,ASC,NY,Facebook - ASC - C01,217611,3173,2763.36,6696.77,Facebook
2025-08-12,ASC,NY,Facebook - ASC - C01,202106,2835,2142.56,5465.45,Facebook
2025-08-13,ASC,NY,Facebook - ASC - C01,267859,3751,2688.73,7063.32,Facebook
2025-08-14,ASC,NY,Facebook - ASC - C01,251582,3789,1467.38,4469.44,Facebook
2025-08-15,ASC,NY,Facebook - ASC - C01,174773,2591,1429.5,4531.43,Facebook
2025-08-16,ASC,NY,Facebook - ASC - C01,198503,3191,2776.96,8488.78,Facebook
2025-08-17,ASC,NY,Facebook - ASC - C01,231269,3631,2616.37,7441.92,Facebook
2025-08-18,ASC,NY,Facebook - ASC - C01,271320,3861,2603.25,6808.93,Facebook
2025-08-19,ASC,NY,Facebook - ASC - C01,172653,2603,1706.28,4619.34,Facebook
2025-08-20,ASC,NY,Facebook - ASC - C01,160306,2465,1462.36,3786.93,Facebook
2025-08-21,ASC,NY,Facebook - ASC - C01,230522,3573,1728.74,5260.78,Facebook
2025-08-22,ASC,NY,Facebook - ASC - C01,135923,2219,1681.86,5524.03,Facebook
2025-08-23,ASC,NY,Facebook - ASC - C01,129750,1962,1878.48,5167.81,Facebook
2025-08-24,ASC,NY,Facebook - ASC - C01,108025,1516,1001.78,2804.87,Facebook
2025-08-25,ASC,NY,Facebook - ASC - C01,250772,3732,2784.36,9098.13,Facebook
2025-08-26,ASC,NY,Facebook - ASC - C01,169995,2410,2268.09,6178.77,Facebook
2025-08-27,ASC,NY,Facebook - ASC - C01,181302,2597,1160.83,3805.58,Facebook
2025-08-28,ASC,NY,Facebook - ASC - C01,151500,2343,1949.71,5145.42,Facebook
2025-08-29,ASC,NY,Facebook - ASC - C01,151762,2152,1654.67,5365.97,Facebook
2025-08-30,ASC,NY,Facebook - ASC - C01,240992,3806,1486.07,4725.19,Facebook
2025-08-31,ASC,NY,Facebook - ASC - C01,490463,7104,4653.5,12909.59,Facebook
2025-09-01,ASC,NY,Facebook - ASC - C01,288032,3954,2818.02,7657.88,Facebook
2025-09-02,ASC,NY,Facebook - ASC - C01,186019,3016,1633.14,4075.26,Facebook
2025-09-03,ASC,NY,Facebook - ASC - C01,95505,1511,1006.12,3145.47,Facebook
2025-09-04,ASC,NY,Facebook - ASC - C01,181497,2783,2526.09,6778.1,Facebook
2025-09-05,ASC,NY,Facebook - ASC - C01,203139,3349,1915.12,5583.06,Facebook
2025-09-06,ASC,NY,Facebook - ASC - C01,195151,3026,1555.25,4306.78,Facebook
2025-09-07,ASC,NY,Facebook - ASC - C01,143682,1951,1589.09,4734.45,Facebook
2025-09-08,ASC,NY,Facebook - ASC - C01,235507,3648,2637.82,8243.75,Facebook
2025-09-09,ASC,NY,Facebook - ASC - C01,197297,3074,1519.26,4502.77,Facebook
2025-09-10,ASC,NY,Facebook - ASC - C01,145158,2285,1059.02,3066.82,Facebook
2025-09-11,ASC,NY,Facebook - ASC - C01,182675,2793,2217.28,7259.89,Facebook
2025-09-12,ASC,NY,Facebook - ASC - C01,411405,6684,4700.5,12428.81,Facebook
2025-05-16,Prospecting,NY,Facebook - Prospecting - C02,256350,2838,3181.96,8346.97,Facebook
2025-05-17,Prospecting,NY,Facebook - Prospecting - C02,136012,1673,1554.35,4034.35,Facebook
2025-05-18,Prospecting,NY,Facebook - Prospecting - C02,214040,2793,1575.7,4317.8,Facebook
2025-05-19,Prospecting,NY,Facebook - Prospecting - C02,109150,1271,820.33,2332.67,Facebook
2025-05-20,Prospecting,NY,Facebook - Prospecting - C02,169409,1876,1050.86,2967.2,Facebook
2025-05-21,Prospecting,NY,Facebook - Prospecting - C02,228861,2934,1637.05,3522.86,Facebook
2025-05-22,Prospecting,NY,Facebook - Prospecting - C02,149642,1733,1026.93,2325.92,Facebook
2025-05-23,Prospecting,NY,Facebook - Prospecting - C02,315676,3645,2903.97,6160.64,Facebook
2025-05-24,Prospecting,NY,Facebook - Prospecting - C02,174302,1995,2369.93,6132.6,Facebook
2025-05-25,Prospecting,NY,Facebook - Prospecting - C02,223912,2652,1858.88,3871.61,Facebook
2025-05-26,Prospecting,NY,Facebook - Prospecting - C02,126880,1623,1039.57,2349.37,Facebook
2025-05-27,Prospecting,NY,Facebook - Prospecting - C02,122615,1612,1033.59,2217.42,Facebook
2025-05-28,Prospecting,NY,Facebook - Prospecting - C02,228681,2641,3096.46,7198.91,Facebook
2025-05-29,Prospecting,NY,Facebook - Prospecting - C02,162474,1852,1196.15,3264.51,Facebook
2025-05-30,Prospecting,NY,Facebook - Prospecting - C02,165656,2023,1937.76,4758.48,Facebook
2025-05-31,Prospecting,NY,Facebook - Prospecting - C02,339824,3682,2610.02,6253.16,Facebook
2025-06-01,Prospecting,NY,Facebook - Prospecting - C02,195634,2393,1861.8,5052.46,Facebook
2025-06-02,Prospecting,NY,Facebook - Prospecting - C02,231483,3039,2860.19,6029.9,Facebook
2025-06-03,Prospecting,NY,Facebook - Prospecting - C02,150918,1935,1514.71,3730.26,Facebook
2025-06-04,Prospecting,NY,Facebook - Prospecting - C02,216997,2465,1300.35,3177.86,Facebook
2025-06-05,Prospecting,NY,Facebook - Prospecting - C02,279706,3530,3024.43,7335.99,Facebook
2025-06-06,Prospecting,NY,Facebook - Prospecting - C02,145510,1832,1874.03,4503.86,Facebook
2025-06-07,Prospecting,NY,Facebook - Prospecting - C02,263274,3065,1865.18,3750.58,Facebook
2025-06-08,Prospecting,NY,Facebook - Prospecting - C02,401221,5148,3319.15,8666.68,Facebook
2025-06-09,Prospecting,NY,Facebook - Prospecting - C02,142975,1876,1030.41,2840.48,Facebook
2025-06-10,Prospecting,NY,Facebook - Prospecting - C02,157197,2022,1291.5,3272.68,Facebook
2025-06-11,Prospecting,NY,Facebook - Prospecting - C02,219506,2842,2650.41,6329.06,Facebook
2025-06-12,Prospecting,NY,Facebook - Prospecting - C02,237077,2573,2399.87,4971.08,Facebook
2025-06-13,Prospecting,NY,Facebook - Prospecting - C02,148054,1950,1304.67,2689.69,Facebook
2025-06-14,Prospecting,NY,Facebook - Prospecting - C02,183249,1986,1106.81,2900.14,Facebook
2025-06-15,Prospecting,NY,Facebook - Prospecting - C02,247108,3116,2113.51,5475.75,Facebook
2025-06-16,Prospecting,NY,Facebook - Prospecting - C02,230331,2890,2386.25,4813.26,Facebook
2025-06-17,Prospecting,NY,Facebook - Prospecting - C02,165275,2179,1399.14,3157.05,Facebook
2025-06-18,Prospecting,NY,Facebook - Prospecting - C02,236475,2916,1518.92,3529.92,Facebook
2025-06-19,Prospecting,NY,Facebook - Prospecting - C02,60146,721,522.39,1220.1,Facebook
2025-06-20,Prospecting,NY,Facebook - Prospecting - C02,110028,1353,873.81,2052.49,Facebook
2025-06-21,Prospecting,NY,Facebook - Prospecting - C02,95616,1125,1164.02,2647.48,Facebook
2025-06-22,Prospecting,NY,Facebook - Prospecting - C02,174295,2012,1866.13,3997.94,Facebook
2025-06-23,Prospecting,NY,Facebook - Prospecting - C02,125209,1514,921.61,2094.76,Facebook
2025-06-24,Prospecting,NY,Facebook - Prospecting - C02,164163,1910,949.82,1992.65,Facebook
2025-06-25,Prospecting,NY,Facebook - Prospecting - C02,231118,2773,1400.64,3374.69,Facebook
2025-06-26,Prospecting,NY,Facebook - Prospecting - C02,101915,1126,1105.74,2474.66,Facebook
2025-06-27,Prospecting,NY,Facebook - Prospecting - C02,155819,1687,1462.67,3934.18,Facebook
2025-06-28,Prospecting,NY,Facebook - Prospecting - C02,351307,4129,3616.36,7931.66,Facebook
2025-06-29,Prospecting,NY,Facebook - Prospecting - C02,121742,1328,865.4,2158.4,Facebook
